,IVT,Class
c1,Affy,N
c2,Affy,N
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,N
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,N
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,N
c26,Affy,N
c27,Affy,N
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,N
c52,Affy,N
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,N
c63,Affy,N
c64,Affy,N
c65,Affy,N
c66,Affy,N
c67,Affy,N
c68,Affy,N
c69,Affy,N
c70,Affy,N
c71,Affy,N
c72,Affy,N
c73,Affy,N
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,N
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,N
c87,Affy,N
c88,Affy,N
c89,Affy,N
c90,Affy,N
c91,Affy,N
c92,Affy,N
c93,Affy,N
c94,Affy,N
c95,Affy,N
c96,Affy,P
c97,Affy,P
c98,Affy,P
c99,Affy,P
c100,Affy,P
c101,Affy,P
c102,Affy,P
c103,Affy,P
c104,Affy,P
c105,Affy,P
c106,Affy,P
c107,Affy,P
c108,Affy,P
c109,Affy,P
c110,Affy,P
c111,Affy,P
c112,Affy,P
c113,Affy,P
c114,Affy,P
c115,Affy,P
c116,Affy,P
c117,Affy,P
c118,Affy,P
c119,Affy,P
c120,Affy,P
c121,Affy,P
c122,Affy,P
c123,Affy,P
c124,Affy,P
c125,Affy,P
c126,Affy,P
c127,Affy,P
c128,Affy,P
